CMDLINE C:\Users\avark\AppData\Local\Programs\Python\Python311\python.exe main.py
CHLD 13624 16.730469 1774893927.2189
MEM 11.937500 1774893927.3207
CHLD 34668 16.582031 1774893927.3263
CHLD 34072 16.921875 1774893927.3263
CHLD 13624 16.730469 1774893927.3263
MEM 11.937500 1774893927.4283
CHLD 34668 16.582031 1774893927.4339
CHLD 34072 16.921875 1774893927.4339
CHLD 13624 16.730469 1774893927.4339
MEM 11.937500 1774893927.5362
CHLD 34668 16.582031 1774893927.5422
CHLD 34072 16.921875 1774893927.5422
CHLD 13624 16.730469 1774893927.5422
MEM 11.937500 1774893927.6433
CHLD 34668 16.582031 1774893927.6488
CHLD 34072 16.921875 1774893927.6508
CHLD 13624 16.730469 1774893927.6508
MEM 11.937500 1774893927.7509
CHLD 34668 16.582031 1774893927.7568
CHLD 34072 16.921875 1774893927.7568
CHLD 13624 16.730469 1774893927.7568
MEM 11.937500 1774893927.8578
CHLD 34668 16.582031 1774893927.8631
CHLD 34072 16.921875 1774893927.8631
CHLD 13624 16.730469 1774893927.8631
MEM 11.937500 1774893927.9649
CHLD 34668 16.582031 1774893927.9706
CHLD 34072 16.921875 1774893927.9706
CHLD 13624 16.730469 1774893927.9706
MEM 11.937500 1774893928.0721
CHLD 34668 16.582031 1774893928.0777
CHLD 34072 16.921875 1774893928.0777
CHLD 13624 16.730469 1774893928.0777
MEM 11.937500 1774893928.1796
CHLD 34668 16.582031 1774893928.1855
CHLD 34072 16.921875 1774893928.1855
CHLD 13624 16.730469 1774893928.1855
MEM 11.937500 1774893928.2871
CHLD 34668 16.582031 1774893928.2938
CHLD 34072 16.921875 1774893928.2938
CHLD 13624 16.734375 1774893928.2938
MEM 11.937500 1774893928.3941
CHLD 34668 16.582031 1774893928.4001
CHLD 34072 16.921875 1774893928.4001
CHLD 13624 16.734375 1774893928.4001
MEM 11.937500 1774893928.5011
CHLD 34668 16.582031 1774893928.5051
CHLD 34072 16.921875 1774893928.5051
CHLD 13624 16.734375 1774893928.5051
MEM 11.937500 1774893928.6084
CHLD 34668 16.582031 1774893928.6130
CHLD 34072 16.921875 1774893928.6130
CHLD 13624 16.734375 1774893928.6130
MEM 11.937500 1774893928.7156
CHLD 34668 16.582031 1774893928.7196
CHLD 34072 16.921875 1774893928.7196
CHLD 13624 16.734375 1774893928.7196
MEM 11.937500 1774893928.8212
CHLD 34668 16.582031 1774893928.8252
CHLD 34072 16.921875 1774893928.8252
CHLD 13624 16.734375 1774893928.8252
MEM 11.937500 1774893928.9284
CHLD 34668 16.582031 1774893928.9336
CHLD 34072 16.921875 1774893928.9336
CHLD 13624 16.734375 1774893928.9336
MEM 11.937500 1774893929.0356
CHLD 34668 16.582031 1774893929.0396
CHLD 34072 16.921875 1774893929.0396
CHLD 13624 16.734375 1774893929.0396
MEM 11.937500 1774893929.1428
CHLD 34668 16.582031 1774893929.1483
CHLD 34072 16.925781 1774893929.1483
CHLD 13624 16.734375 1774893929.1483
MEM 11.937500 1774893929.2505
CHLD 34668 16.582031 1774893929.2561
CHLD 34072 16.925781 1774893929.2561
CHLD 13624 16.734375 1774893929.2561
MEM 11.937500 1774893929.3575
CHLD 34668 16.582031 1774893929.3641
CHLD 34072 16.925781 1774893929.3641
CHLD 13624 16.734375 1774893929.3641
MEM 11.937500 1774893929.4648
CHLD 34668 16.582031 1774893929.4708
CHLD 34072 16.925781 1774893929.4708
CHLD 13624 16.734375 1774893929.4708
MEM 11.937500 1774893929.5718
CHLD 34668 16.582031 1774893929.5776
CHLD 34072 16.925781 1774893929.5776
CHLD 13624 16.734375 1774893929.5776
MEM 11.937500 1774893929.6790
CHLD 34668 16.582031 1774893929.6853
CHLD 34072 16.925781 1774893929.6853
CHLD 13624 16.734375 1774893929.6853
MEM 11.937500 1774893929.7864
CHLD 34668 16.582031 1774893929.7932
CHLD 34072 16.925781 1774893929.7932
CHLD 13624 16.734375 1774893929.7932
MEM 11.937500 1774893929.8937
CHLD 34668 16.582031 1774893929.8993
CHLD 34072 16.925781 1774893929.8993
CHLD 13624 16.734375 1774893929.8993
MEM 11.937500 1774893930.0006
CHLD 34668 16.582031 1774893930.0066
CHLD 34072 16.925781 1774893930.0066
CHLD 13624 16.734375 1774893930.0066
MEM 11.937500 1774893930.1077
CHLD 34668 16.582031 1774893930.1133
CHLD 34072 16.925781 1774893930.1133
CHLD 13624 16.734375 1774893930.1133
MEM 11.937500 1774893930.2150
CHLD 34668 16.582031 1774893930.2205
CHLD 34072 16.925781 1774893930.2205
CHLD 13624 16.734375 1774893930.2205
MEM 11.937500 1774893930.3222
CHLD 34668 16.582031 1774893930.3279
CHLD 34072 16.925781 1774893930.3279
CHLD 13624 16.734375 1774893930.3279
MEM 11.937500 1774893930.4299
CHLD 34668 16.582031 1774893930.4351
CHLD 34072 16.925781 1774893930.4351
CHLD 13624 16.738281 1774893930.4351
MEM 11.937500 1774893930.5366
CHLD 34668 16.582031 1774893930.5427
CHLD 34072 16.925781 1774893930.5427
CHLD 13624 16.738281 1774893930.5427
MEM 11.937500 1774893930.6446
CHLD 34668 16.582031 1774893930.6501
CHLD 34072 16.925781 1774893930.6501
CHLD 13624 16.738281 1774893930.6501
MEM 11.937500 1774893930.7518
CHLD 34668 16.582031 1774893930.7585
